"","taxon.name","variable.units","variable.element","variable.context","taxon.group","ecological.group","alias","compressed"
"147","Myriophyllum alterniflorum","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum alterniflorum","Other"
"150","Myriophyllum undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum undiff.","Other"
"156","Huperzia selago","NISP","spore",NA,"Vascular plants","VACR","Huperzia selago","Other"
"159","Typha","NISP","pollen",NA,"Vascular plants","AQVP","Typha","Other"
"162","Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"163","Angiospermae undiff. (herbs)","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"164","Spermatophyta undiff. (trees/shrubs)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"165","Hippuris vulgaris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"175","cf. Myrica","NISP","pollen",NA,"Vascular plants","TRSH","cf. Myrica","Other"
"181","Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH","Nemopanthus","Other"
"183","Typha/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP","Typha/Sparganium","Other"
"190","Sparganium","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"193","Pinaceae (vesiculate) undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"195","Valeriana sitchensis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"196","Potamogeton","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"198","Viburnum","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"199","Linnaea borealis","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"200","Violaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"201","Primulaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"202","cf. Descurainia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"203","Callitriche","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"204","Heracleum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"208","Huperzia lucidula","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"212","Pediastrum boryanum","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum boryanum","Other"
"215","Nemopanthus mucronatus","NISP","pollen",NA,"Vascular plants","TRSH","Nemopanthus mucronatus","Other"
"221","Pediastrum tetras","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum tetras","Other"
"229","Saxifragaceae","NISP","pollen",NA,"Vascular plants","UPHE","Saxifragaceae","Other"
"230","Pteridophyta undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"231","Ribes","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"232","Typha/Sparganium","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"249","Ribes","NISP","pollen",NA,"Vascular plants","TRSH","Ribes","Other"
"256","Vitis","NISP","pollen",NA,"Vascular plants","TRSH","Vitis","Other"
"259","Ilex","NISP","pollen",NA,"Vascular plants","TRSH","Ilex","Other"
"266","Potamogetonaceae/Triglochin","NISP","pollen",NA,"Vascular plants","AQVP","Potamogetonaceae/Triglochin","Other"
"270","Unknown undiff.","NISP","spore",NA,"Unidentified","UNID","Unknown undiff.","Other"
"271","Ilex/Nemopanthus undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Ilex/Nemopanthus undiff.","Other"
"276","Viburnum lentago","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum lentago","Other"
"304","Sedum","NISP","pollen",NA,"Vascular plants","UPHE","Sedum","Other"
"305","Coniferae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Coniferae undiff.","Other"
"307","Unknown (trilete) undiff.","NISP","spore",NA,"Unidentified","UNID","Unknown (trilete) undiff.","Other"
"309","cf. Ostrya/Carpinus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Ostrya/Carpinus","Other"
"313","Betulaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Betulaceae undiff.","Other"
"317","Sambucus-type","NISP","pollen",NA,"Vascular plants","TRSH","Sambucus-type","Other"
"328","Hypericum","NISP","pollen",NA,"Vascular plants","UPHE","Hypericum","Other"
"329","Myriophyllum sibiricum-type","NISP","pollen",NA,"Vascular plants","AQVP","Myriophyllum sibiricum-type","Other"
"331","Hippuris vulgaris","NISP","pollen",NA,"Vascular plants","AQVP","Hippuris vulgaris","Other"
"335","Comarum palustre-type","NISP","pollen",NA,"Vascular plants","UPHE","Comarum palustre-type","Other"
"336","Viburnum undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum undiff.","Other"
"362","Isoëtes echinospora","NISP","spore",NA,"Vascular plants","AQVP",NA,"Other"
"363","Isoëtes lacustris","NISP","spore",NA,"Vascular plants","AQVP",NA,"Other"
"364","Pediastrum boryanum","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"367","Pediastrum boryanum var. integrum","NISP","palynomorph",NA,"Algae","ALGA",NA,"Other"
"368","Tofieldia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"370","Myriophyllum sibiricum-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"371","Saxifraga-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"391","Viburnum alnifolium","NISP","pollen",NA,"Vascular plants","TRSH","Viburnum alnifolium","Other"
"395","Micranthes stellaris-type","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes stellaris-type","Other"
"407","Saxifraga undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Saxifraga undiff.","Other"
"408","Micranthes pensylvanica","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes pensylvanica","Other"
"454","Ruppia maritima","NISP","pollen",NA,"Vascular plants","AQVP","Ruppia maritima","Other"
"457","Spermatophyta undiff. (trees)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"465","Unknown","NISP","spore",NA,"Unidentified","UNID","Unknown","Other"
"466","Unknown undiff.","NISP","pollen/spore",NA,"Unidentified","UNID","Unknown undiff.","Other"
"468","Potamogeton","NISP","pollen",NA,"Vascular plants","AQVP","Potamogeton","Other"
"487","Gentianaceae","NISP","pollen",NA,"Vascular plants","UPHE","Gentianaceae","Other"
"489","Linnaea borealis","NISP","pollen",NA,"Vascular plants","UPHE","Linnaea borealis","Other"
"490","Limonium","NISP","pollen",NA,"Vascular plants","UPHE","Limonium","Other"
"492","Pteridophyta","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"509","cf. Huperzia lucidula","NISP","spore",NA,"Vascular plants","VACR","cf. Huperzia lucidula","Other"
"512","Polygalaceae","NISP","pollen",NA,"Vascular plants","UPHE","Polygalaceae","Other"
"517","Drosera rotundifolia-type","NISP","pollen",NA,"Vascular plants","AQVP","Drosera rotundifolia-type","Other"
"521","Sarracenia purpurea","NISP","pollen",NA,"Vascular plants","AQVP","Sarracenia purpurea","Other"
"522","Unknown (alete)","NISP","spore",NA,"Unidentified","UNID","Unknown (alete)","Other"
"524","cf. Mnium","NISP","spore",NA,"Bryophytes","UPBR","cf. Mnium","Other"
"542","Cyclachaena xanthiifolia-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"546","Sagittaria","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"548","Spermatophyta undiff. (aquatics)","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"567","Saxifraga","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"578","Botryococcus","NISP","colony",NA,"Algae","ALGA","Botryococcus","Other"
"584","Lysimachia","NISP","pollen",NA,"Vascular plants","UPHE","Lysimachia","Other"
"589","Pinaceae (vesiculate) undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Pinaceae (vesiculate) undiff.","Other"
"592","Angiospermae undiff. (upland herbs)","NISP","pollen",NA,"Vascular plants","UPHE","Angiospermae undiff. (upland herbs)","Other"
"593","Potamogetonaceae-type","NISP","pollen",NA,"Vascular plants","AQVP","Potamogetonaceae-type","Other"
"594","Tilletia","NISP","spore",NA,"Fungi","FUNG","Tilletia","Other"
"595","Heracleum","NISP","pollen",NA,"Vascular plants","UPHE","Heracleum","Other"
"598","Valeriana","NISP","pollen",NA,"Vascular plants","UPHE","Valeriana","Other"
"600","Androsace","NISP","pollen",NA,"Vascular plants","UPHE","Androsace","Other"
"607","Utricularia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"613","Typha","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"629","cf. Taxus","NISP","pollen",NA,"Vascular plants","TRSH","cf. Taxus","Other"
"635","Typha angustifolia-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"638","Lentibulariaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"641","Menyanthes trifoliata","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"644","Lycopodiaceae","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"650","Pediastrum braunii","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum braunii","Other"
"690","Unknown (type A)","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"692","Fungi","NISP","spore",NA,"Fungi","FUNG",NA,"Other"
"693","Unknown undiff.","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"696","Valeriana","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"710","Saxifragaceae undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Saxifragaceae undiff.","Other"
"728","Rhus","NISP","pollen",NA,"Vascular plants","TRSH","Rhus","Other"
"745","Pinaceae","NISP","pollen",NA,"Vascular plants","TRSH","Pinaceae","Other"
"769","Parnassia","NISP","pollen",NA,"Vascular plants","UPHE","Parnassia","Other"
"773","Convolvulus-type","NISP","pollen",NA,"Vascular plants","UPHE","Convolvulus-type","Other"
"774","Chamaenerion angustifolium","NISP","pollen",NA,"Vascular plants","UPHE","Chamaenerion angustifolium","Other"
"775","Juncus","NISP","pollen",NA,"Vascular plants","UPHE","Juncus","Other"
"778","Heuchera-type","NISP","pollen",NA,"Vascular plants","UPHE","Heuchera-type","Other"
"781","Ilex","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"800","Dryas-type","NISP","pollen",NA,"Vascular plants","UPHE","Dryas-type","Other"
"808","Alisma","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"814","Drosera","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"825","Lemna","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"833","Unknown (monolete)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"834","Lysichiton","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"838","Oenanthe","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"858","Bryophyta","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"873","Habrotrocha angusticollis","NISP","palynomorph",NA,"Rotifers","ROTI","Habrotrocha angusticollis","Other"
"907","Cicuta-type","NISP","pollen",NA,"Vascular plants","UPHE","Cicuta-type","Other"
"908","Saxifraga undiff.","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"916","Unknown (trilete)","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"919","Sedum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"924","Parnassia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"925","Solanaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"936","Iridaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"991","Nymphaeaceae undiff.","NISP","pollen",NA,"Vascular plants","AQVP","Nymphaeaceae undiff.","Other"
"1032","Rhus typhina","NISP","pollen",NA,"Vascular plants","TRSH","Rhus typhina","Other"
"1066","Eriocaulon","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1084","Nymphaeaceae","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1095","Huperzia selago/H. lucidula","NISP","spore",NA,"Vascular plants","VACR","Huperzia selago/H. lucidula","Other"
"1096","Dinoflagellata","NISP","cyst",NA,"Dinoflagellates","DINO","Dinoflagellata","Other"
"1108","Encalypta","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"1130","Betula (<20 µm)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1131","Betula (>25 µm)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1132","Betula (20-25 µm)","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1141","Lycopodiella inundata","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"1155","Primulaceae","NISP","pollen",NA,"Vascular plants","UPHE","Primulaceae","Other"
"1158","cf. Lysimachia","NISP","pollen",NA,"Vascular plants","UPHE","cf. Lysimachia","Other"
"1160","Unknown (Cretaceous)","NISP","palynomorph","anachronic","Unidentified","ANAC","Unknown (Cretaceous)","Other"
"1183","Fungi","NISP","spore",NA,"Fungi","FUNG","Fungi","Other"
"1188","Micranthes hieraciifolia","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes hieraciifolia","Other"
"1191","Bupleurum","NISP","pollen",NA,"Vascular plants","UPHE","Bupleurum","Other"
"1192","Douglasia","NISP","pollen",NA,"Vascular plants","UPHE","Douglasia","Other"
"1193","Cnidium","NISP","pollen",NA,"Vascular plants","UPHE","Cnidium","Other"
"1195","Gentiana","NISP","pollen",NA,"Vascular plants","UPHE","Gentiana","Other"
"1197","Triglochin","NISP","pollen",NA,"Vascular plants","AQVP","Triglochin","Other"
"1198","Tofieldia","NISP","pollen",NA,"Vascular plants","UPHE","Tofieldia","Other"
"1229","Betula (<20 µm)","NISP","pollen",NA,"Vascular plants","TRSH","Betula (<20 µm)","Other"
"1230","Betula (>20 µm)","NISP","pollen",NA,"Vascular plants","TRSH","Betula (>20 µm)","Other"
"1242","Sarracenia","NISP","pollen",NA,"Vascular plants","AQVP","Sarracenia","Other"
"1263","Juncaceae","NISP","pollen",NA,"Vascular plants","UPHE","Juncaceae","Other"
"1284","Unknown (trilete) undiff.","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"1285","Betulaceae","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1287","Micranthes nivalis-type","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1289","Betulaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1290","Huperzia selago-type","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"1291","Saxifraga cf. S. hirculus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1296","Sambucus-type","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1297","Unknown (Cretaceous)","NISP","palynomorph","anachronic","Unidentified","ANAC",NA,"Other"
"1334","Alisma","NISP","pollen",NA,"Vascular plants","AQVP","Alisma","Other"
"1336","Foraminifera","NISP","test",NA,"Foraminifera","FORM","Foraminifera","Other"
"1378","Triglochin","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1379","Dinoflagellata (marine)","NISP","cyst",NA,"Dinoflagellates","DINO",NA,"Other"
"1390","Indeterminable","NISP","pollen",NA,"Unidentified","UNID",NA,"Other"
"1398","Brasenia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1432","Diervilla lonicera","NISP","pollen",NA,"Vascular plants","TRSH","Diervilla lonicera","Other"
"1449","Scheuchzeria palustris","NISP","pollen",NA,"Vascular plants","AQVP","Scheuchzeria palustris","Other"
"1452","Pediastrum simplex","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum simplex","Other"
"1491","Solanaceae","NISP","pollen",NA,"Vascular plants","UPHE","Solanaceae","Other"
"1516","Musci","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"1520","Pteridophyta (trilete) undiff.","NISP","spore",NA,"Vascular plants","VACR",NA,"Other"
"1522","Unknown","NISP","spore",NA,"Unidentified","UNID",NA,"Other"
"1523","Unknown/Indeterminable","NISP","pollen/spore",NA,"Unidentified","UNID",NA,"Other"
"1524","Apocynum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1528","Impatiens","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1530","Linum","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1532","Viola","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1534","Ruppia maritima-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1575","Myriophyllum alterniflorum","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1604","Spermatophyta undiff. (aquatics)","NISP","pollen",NA,"Vascular plants","AQVP","Spermatophyta undiff. (aquatics)","Other"
"1606","Tilletia sphagni","NISP","spore",NA,"Fungi","FUNG","Tilletia sphagni","Other"
"1607","Vitaceae","NISP","pollen",NA,"Vascular plants","TRSH","Vitaceae","Other"
"1682","Micranthes hieraciifolia","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1751","cf. Myrica","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1764","Gentianaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"1779","Aralia hispida","NISP","pollen",NA,"Vascular plants","UPHE","Aralia hispida","Other"
"1793","Nemopanthus","NISP","pollen",NA,"Vascular plants","TRSH",NA,"Other"
"1799","Pinaceae undiff.","NISP","pollen",NA,"Vascular plants","TRSH","Pinaceae undiff.","Other"
"1800","Spermatophyta undiff. (trees)","NISP","pollen",NA,"Vascular plants","TRSH","Spermatophyta undiff. (trees)","Other"
"1802","Angiospermae undiff. (herbs)","NISP","pollen",NA,"Vascular plants","UPHE","Angiospermae undiff. (herbs)","Other"
"1810","Geranium","NISP","pollen",NA,"Vascular plants","UPHE","Geranium","Other"
"1827","Potamogetonaceae/Triglochin","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1830","Ruppia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1843","Gentiana douglasiana","NISP","pollen",NA,"Vascular plants","UPHE","Gentiana douglasiana","Other"
"1846","Other plants","NISP","pollen/spore",NA,"Plants undiff.","UNID","Other plants","Other"
"1874","Potamogetonaceae-type","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"1919","Other plants","NISP","pollen/spore",NA,"Plants undiff.","UNID",NA,"Other"
"1940","Calla palustris","NISP","pollen",NA,"Vascular plants","AQVP","Calla palustris","Other"
"2024","Pteridophyta undiff.","NISP","spore",NA,"Vascular plants","VACR","Pteridophyta undiff.","Other"
"2063","Callitriche","NISP","pollen",NA,"Vascular plants","AQVP","Callitriche","Other"
"2142","Butomus umbellatus","NISP","pollen",NA,"Vascular plants","AQVP","Butomus umbellatus","Other"
"2146","Portulacaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2155","Unknown (monolete) undiff.","NISP","spore",NA,"Unidentified","UNID","Unknown (monolete) undiff.","Other"
"2158","Heuchera","NISP","pollen",NA,"Vascular plants","UPHE","Heuchera","Other"
"2199","Pediastrum kawraiskyi","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum kawraiskyi","Other"
"2245","Lythraceae","NISP","pollen",NA,"Vascular plants","UPHE","Lythraceae","Other"
"2288","Smilax","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2289","Typha/Sparganium undiff.","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"2290","Decodon verticillatus","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"2344","Gentiana","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2430","Sarracenia","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"2456","Scheuchzeria palustris","NISP","pollen",NA,"Vascular plants","AQVP",NA,"Other"
"2552","Unknown undiff.","NISP","spore","anachronic","Unidentified","UNID",NA,"Other"
"2643","Micranthes hieraciifolia-type","NISP","pollen",NA,"Vascular plants","UPHE","Micranthes hieraciifolia-type","Other"
"2647","Pediastrum integrum","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum integrum","Other"
"2649","Pediastrum longicornes","NISP","palynomorph",NA,"Algae","ALGA","Pediastrum longicornes","Other"
"2654","Brassicaceae-type undiff.","NISP","pollen",NA,"Vascular plants","UPHE","Brassicaceae-type undiff.","Other"
"2776","Bryopsida","NISP","spore",NA,"Bryophytes","UPBR",NA,"Other"
"2782","Spirogyra","NISP","palynomorph",NA,"Algae","ALGA","Spirogyra","Other"
"2783","Huperzia","NISP","spore",NA,"Vascular plants","VACR","Huperzia","Other"
"2784","Ligusticum","NISP","pollen",NA,"Vascular plants","UPHE","Ligusticum","Other"
"2825","Glaux maritima","NISP","pollen",NA,"Vascular plants","UPHE","Glaux maritima","Other"
"2839","Menyanthes trifoliata/Nephrophyllidium crista-galli","NISP","pollen",NA,"Vascular plants","AQVP","Menyanthes trifoliata/Nephrophyllidium crista-galli","Other"
"2921","Juncaceae","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
"2967","Lysichiton americanus","NISP","pollen",NA,"Vascular plants","UPHE",NA,"Other"
