"","diss","age","lat","long","site"
"5261",0.290870868676869,10245,45.41,-79.39,"Fawn Lake (CA:Ontario)"
"5318",0.276235088173023,1868,34.405556,-95.808333,"Ferndale Bog"
"5319",0.279537644072782,2624,34.405556,-95.808333,"Ferndale Bog"
"5321",0.270289980644815,2741,34.405556,-95.808333,"Ferndale Bog"
"5326",0.263654770253494,2474,34.405556,-95.808333,"Ferndale Bog"
"5327",0.286151802107296,3092,34.405556,-95.808333,"Ferndale Bog"
"5328",0.337717336559177,2625,34.405556,-95.808333,"Ferndale Bog"
"5329",0.336896287534846,3209,34.405556,-95.808333,"Ferndale Bog"
"5330",0.317175098876475,2716,34.405556,-95.808333,"Ferndale Bog"
"5331",0.306902531498202,3326,34.405556,-95.808333,"Ferndale Bog"
"5332",0.288121497021323,2704,34.405556,-95.808333,"Ferndale Bog"
"5333",0.313147615918028,3443,34.405556,-95.808333,"Ferndale Bog"
"5334",0.338112254405789,2693,34.405556,-95.808333,"Ferndale Bog"
"5336",0.324853513995487,2681,34.405556,-95.808333,"Ferndale Bog"
"5338",0.347387879179352,2670,34.405556,-95.808333,"Ferndale Bog"
"5356",0.281586458802161,4729,34.405556,-95.808333,"Ferndale Bog"
"5748",0.300842000798345,14965,44.05,-87.733333,"Gass Lake"
"5763",0.302990322067172,9062,30.785,-96.721111,"Gause Bog"
"5863",0.383387252302055,11541,45.17,-81.32,"Georgian Bay, Lake Huron (2)"
"5951",0.318978272873954,8234,45.945833,-74.370833,"Lac à St-Germain"
"5979",0.276652752361755,10169,45.945833,-74.370833,"Lac à St-Germain"
"5980",0.302201174575189,10217,45.945833,-74.370833,"Lac à St-Germain"
"5981",0.293102120866566,10266,45.945833,-74.370833,"Lac à St-Germain"
"5982",0.282791858447529,10314,45.945833,-74.370833,"Lac à St-Germain"
"5983",0.287152479323862,10362,45.945833,-74.370833,"Lac à St-Germain"
"5984",0.31738056550799,10410,45.945833,-74.370833,"Lac à St-Germain"
"6121",0.262445503638669,9569,49.4533,-99.2976,"Jones Lake [Glenboro site]"
"6130",0.296481864407702,11102,49.4533,-99.2976,"Jones Lake [Glenboro site]"
"6735",0.461494429181367,3026,43.64,-79.47,"Grenadier Pond"
"6736",0.461622239520073,3068,43.64,-79.47,"Grenadier Pond"
"6737",0.295295327998782,3110,43.64,-79.47,"Grenadier Pond"
"6813",0.296615374143187,7118,50.768889,-55.516667,"Grey Islands"
"6814",0.267696728384711,7195,50.768889,-55.516667,"Grey Islands"
"6819",0.277768788321195,7487,50.768889,-55.516667,"Grey Islands"
"6833",0.261550579365051,8586,50.768889,-55.516667,"Grey Islands"
"6842",0.311094371108284,9402,50.768889,-55.516667,"Grey Islands"
"6843",0.264461944471747,9502,50.768889,-55.516667,"Grey Islands"
"6864",0.296936363175761,88,25.774722,-80.505556,"Water Conservation Area 3B, Gumbo Limbo Far Tail"
"6867",0.281763045537495,1229,25.774722,-80.505556,"Water Conservation Area 3B, Gumbo Limbo Far Tail"
"6871",0.307649337956059,3021,25.774722,-80.505556,"Water Conservation Area 3B, Gumbo Limbo Far Tail"
"6874",0.305094474172221,3751,25.774722,-80.505556,"Water Conservation Area 3B, Gumbo Limbo Far Tail"
"6894",0.268322042657762,3320,25.778889,-80.511111,"Water Conservation Area 3B, Gumbo Limbo Marsh"
"7054",0.26389239183953,5994,43.433056,-89.675,"Hanson Marsh"
"7130",0.265479452028201,11145,48.2375,-65.838889,"Lac Harriman"
"7192",0.256241382034165,5916,47.322222,-53.133333,"Hawke Hills Kettle"
"7198",0.25694090021493,6897,47.322222,-53.133333,"Hawke Hills Kettle"
"7199",0.332272413637991,7094,47.322222,-53.133333,"Hawke Hills Kettle"
"7207",0.292285480475515,3282,42.566667,-72.883333,"Hawley Bog Pond-1"
"7209",0.262982673156109,4294,42.566667,-72.883333,"Hawley Bog Pond-1"
"7238",0.377600440075735,7486,58.2,-63.033333,"Hebron Lake"
"7275",0.281702847767099,3647,45.988889,-73.3,"Tourbière de Lanoraie HENRI"
"7577",0.292513565410629,10676,42.541667,-78.670278,"Houghton Bog"
"7578",0.373390960179274,10736,42.541667,-78.670278,"Houghton Bog"
"7579",0.384129457516216,10808,42.541667,-78.670278,"Houghton Bog"
"7580",0.264076043655627,10879,42.541667,-78.670278,"Houghton Bog"
"7591",0.25745415949263,33,41.65,-87.072222,"Howes Prairie Marsh"
"7725",0.284161148890346,12,43.64,-79.48,"Humber Pond 3"
"7730",0.282422769180894,53,43.64,-79.48,"Humber Pond 3"
"7764",0.283329173875379,2960,43.64,-79.48,"Humber Pond 3"
"7765",0.275606962254319,3042,43.64,-79.48,"Humber Pond 3"
"7806",0.282211741894029,3463,43.64,-79.49,"Humber Pond 5"
"7846",0.268189181719731,2263,43.65,-79.5,"Humber Pond 7"
"7849",0.30593898619245,2758,43.65,-79.5,"Humber Pond 7"
"7850",0.259890592338128,2856,43.65,-79.5,"Humber Pond 7"
"7890",0.323455270410581,1971,48.618611,-58.965,"Hynes Brook Salt Marsh"
"7931",0.275277730648023,6065,50.916667,-90.45,"Indian Lake"
"7962",0.27126004051289,9643,44.483333,-77.05,"Inglesby Lake"
"7964",0.402958588633959,10057,44.483333,-77.05,"Inglesby Lake"
"8304",0.281488707967266,45,50.22,-80.2,"James Bay"
"8306",0.258452940812974,195,50.22,-80.2,"James Bay"
"8313",0.260211608849498,1135,50.22,-80.2,"James Bay"
"8315",0.268048817548125,1537,50.22,-80.2,"James Bay"
"8323",0.275201739739098,2641,50.22,-80.2,"James Bay"
"8375",0.314194512891852,7927,42.26,-93.7,"Jewell Site"
"8376",0.258230671810843,7963,42.26,-93.7,"Jewell Site"
"8382",0.270199516923044,8171,42.26,-93.7,"Jewell Site"
"8457",0.26081105717299,11990,48.24,-58.24,"Joes Pond"
"8501",0.258820494054188,7371,47.257778,-71.162778,"Tourbière du lac Joncas"
"8527",0.256794032794489,3255,45.991944,-73.302778,"Tourbière de Lanoraie JOSEPH"
"8529",0.291310492572513,4070,45.991944,-73.302778,"Tourbière de Lanoraie JOSEPH"
"8559",0.283186234619855,6085,54.027778,-76.643889,"Kanaaupscow"
"8560",0.28161797867186,6309,54.027778,-76.643889,"Kanaaupscow"
"8697",0.338751118185448,-32,47.590278,-52.713889,"Kennys Pond"
"8698",0.324601596697829,65,47.590278,-52.713889,"Kennys Pond"
"8699",0.488294977651891,163,47.590278,-52.713889,"Kennys Pond"
"8700",0.62883595672914,358,47.590278,-52.713889,"Kennys Pond"
"8704",0.293224123791091,1040,47.590278,-52.713889,"Kennys Pond"
"8753",0.340558597212976,3465,48.365833,-71.566944,"Lac Kénogami"
"8810",0.259009237028239,3371,44.195833,-79.512778,"Marais de Keswick"
"9334",0.277675596091306,3484,41.416667,-84.75,"Ladd Lake"
"9603",0.297748152311158,11087,44.8009,-93.1617,"Lake Carlson"
"9607",0.258627234740676,11586,44.8009,-93.1617,"Lake Carlson"
"10030",0.289456148325116,675,51.573333,-55.55,"L'Anse aux Meadows Site"
"10041",0.26303437552713,1148,51.573333,-55.55,"L'Anse aux Meadows Site"
"10042",0.293649453692085,1175,51.573333,-55.55,"L'Anse aux Meadows Site"
"10043",0.311785178566447,1202,51.573333,-55.55,"L'Anse aux Meadows Site"
"10045",0.295532097232144,1256,51.573333,-55.55,"L'Anse aux Meadows Site"
"10046",0.292187049995559,1283,51.573333,-55.55,"L'Anse aux Meadows Site"
"10047",0.286445367717846,1310,51.573333,-55.55,"L'Anse aux Meadows Site"
"10048",0.333611097534319,1337,51.573333,-55.55,"L'Anse aux Meadows Site"
"10049",0.391565703597031,1364,51.573333,-55.55,"L'Anse aux Meadows Site"
"10050",0.362573980845563,1391,51.573333,-55.55,"L'Anse aux Meadows Site"
"10051",0.282070550786674,1418,51.573333,-55.55,"L'Anse aux Meadows Site"
"10062",0.25950540896961,1715,51.573333,-55.55,"L'Anse aux Meadows Site"
"10063",0.265682479692311,1742,51.573333,-55.55,"L'Anse aux Meadows Site"
"10064",0.266468543994825,1769,51.573333,-55.55,"L'Anse aux Meadows Site"
"10066",0.268659784260405,1823,51.573333,-55.55,"L'Anse aux Meadows Site"
"10067",0.26421457301466,1850,51.573333,-55.55,"L'Anse aux Meadows Site"
"10068",0.34433206186889,1877,51.573333,-55.55,"L'Anse aux Meadows Site"
"10069",0.398204419881529,1901,51.573333,-55.55,"L'Anse aux Meadows Site"
"10072",0.292411292687108,1970,51.573333,-55.55,"L'Anse aux Meadows Site"
"10077",0.292329264140286,2084,51.573333,-55.55,"L'Anse aux Meadows Site"
"10194",0.315608496351322,652,49.207778,-65.812778,"Lac à Léonard"
"10203",0.315931139338506,5002,49.207778,-65.812778,"Lac à Léonard"
"10204",0.257518236411821,5224,49.207778,-65.812778,"Lac à Léonard"
"10319",0.26824050130545,11516,45.144444,-66.716667,"Little Lake (CA:New Brunswick)"
"10321",0.371573631151109,12383,45.144444,-66.716667,"Little Lake (CA:New Brunswick)"
"10590",0.279507029126812,5930,52.45,-56.433333,"Lake Hope Simpson"
"10632",0.345444586504646,10317,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10633",0.309671652768327,10376,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10634",0.389773635588394,10434,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10635",0.406542881630956,10507,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10636",0.332092078673069,10522,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10637",0.337871739493572,10536,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10646",0.312604942480687,11841,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10652",0.261217836388221,12446,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10653",0.357550034215333,12571,44.668056,-63.938889,"Little Lake (CA:Nova Scotia)"
"10661",0.325676227308799,8792,43.166667,-78.716667,"Lockport Gulf Section"
"10789",0.271022054869916,11983,45.033333,-68.2,"Loon Pond"
"10937",0.437317009533582,9934,45.975,-59.845833,"Main-à-Dieu"
"10938",0.34420307968855,10066,45.975,-59.845833,"Main-à-Dieu"
"10939",0.291466248616422,10133,45.975,-59.845833,"Main-à-Dieu"
"11274",0.273522387654531,6196,56.783333,-64.833333,"Lac Martyne"
"11275",0.274916886839854,6317,56.783333,-64.833333,"Lac Martyne"
"11390",0.262653546456944,9592,46.787778,-72.837778,"Sud du Lac du Noyer"
"11555",0.26668112696021,57,44.816667,-97.35,"Medicine Lake"
"11599",0.269168365865816,8930,44.816667,-97.35,"Medicine Lake"
"11613",0.298632546913947,9131,44.816667,-97.35,"Medicine Lake"
"11845",0.340528029184964,9107,46.525833,-97.241389,"Mirror Pool"
"12021",0.272156229972643,6481,46.8575,-98.158333,"Moon Lake"
"12023",0.305714784102357,6511,46.8575,-98.158333,"Moon Lake"
"12202",0.269957654220043,-23,25.219722,-80.604722,"Mud Creek Site 1"
"12208",0.257710394108993,50,25.219722,-80.604722,"Mud Creek Site 1"
"12306",0.325527737402685,58,39.53,-95.513333,"Muscotah Marsh"
"12307",0.351393883307381,70,39.53,-95.513333,"Muscotah Marsh"
"12308",0.352449244838792,83,39.53,-95.513333,"Muscotah Marsh"
"12318",0.259695036682384,6740,39.53,-95.513333,"Muscotah Marsh"
"12321",0.283895097430402,8138,39.53,-95.513333,"Muscotah Marsh"
"12327",0.256031079301538,9778,39.53,-95.513333,"Muscotah Marsh"
"12338",0.265771243210463,10474,39.53,-95.513333,"Muscotah Marsh"
"12450",0.285054040335178,628,34.663333,-95.386111,"Natural Lake"
"12675",0.273713609403047,9674,46.6,-81.5,"Nina Lake"
"12687",0.344792068524811,255,41.283333,-70.208333,"No Bottom Pond"
"12799",0.268219919866629,-17,25.885556,-80.556667,"Water Conservation Area 3B, Nuthouse Far Tail"
"12800",0.273200062454911,107,25.885556,-80.556667,"Water Conservation Area 3B, Nuthouse Far Tail"
"12801",0.360247502288685,542,25.885556,-80.556667,"Water Conservation Area 3B, Nuthouse Far Tail"
"12812",0.367665802186759,27,25.889167,-80.5125,"Water Conservation Area 3B, Nuthouse Head"
"12814",0.258146628776511,188,25.889167,-80.5125,"Water Conservation Area 3B, Nuthouse Head"
"12817",0.319266443376793,629,25.889167,-80.5125,"Water Conservation Area 3B, Nuthouse Head"
"12819",0.28202892831605,974,25.889167,-80.5125,"Water Conservation Area 3B, Nuthouse Head"
"13072",0.322469433590359,8157,37.116667,-89.833333,"Old Field"
"13073",0.283915263790683,8361,37.116667,-89.833333,"Old Field"
"13376",0.300404867849336,6157,40.8,-77.416667,"Panther Run Pond"
"13377",0.26440346902077,6400,40.8,-77.416667,"Panther Run Pond"
"13543",0.335324097489506,9436,48.56,-88.74,"Pass Lake"
"13545",0.356033827393634,9566,48.56,-88.74,"Pass Lake"
"13597",0.322055719678144,428,30.366667,-97.116667,"Patschke Bog"
"13598",0.34128853035474,567,30.366667,-97.116667,"Patschke Bog"
"13601",0.366582640391195,1383,30.366667,-97.116667,"Patschke Bog"
"13608",0.287711903728442,4606,30.366667,-97.116667,"Patschke Bog"
"13612",0.319954887650679,6251,30.366667,-97.116667,"Patschke Bog"
"13628",0.26418584608421,12090,30.366667,-97.116667,"Patschke Bog"
"13629",0.330327856765894,7756,30.366667,-97.116667,"Patschke Bog"
"13632",0.27674063364165,13290,30.366667,-97.116667,"Patschke Bog"
"13633",0.294360094104015,8667,30.366667,-97.116667,"Patschke Bog"
"13634",0.296979323239388,13582,30.366667,-97.116667,"Patschke Bog"
"13635",0.30678787016569,13785,30.366667,-97.116667,"Patschke Bog"
"13636",0.269666593436544,13988,30.366667,-97.116667,"Patschke Bog"
"13637",0.329118570500013,9579,30.366667,-97.116667,"Patschke Bog"
"13638",0.39357842679586,14191,30.366667,-97.116667,"Patschke Bog"
"13640",0.298195596083237,14598,30.366667,-97.116667,"Patschke Bog"
"13641",0.321759480159716,10490,30.366667,-97.116667,"Patschke Bog"
"13642",0.311721531871643,14801,30.366667,-97.116667,"Patschke Bog"
"13643",0.341634712899731,15004,30.366667,-97.116667,"Patschke Bog"
"13649",0.312790884349,12501,30.366667,-97.116667,"Patschke Bog"
"13654",0.297035027550809,13508,30.366667,-97.116667,"Patschke Bog"
"13658",0.264904382275574,17158,30.366667,-97.116667,"Patschke Bog"
"13659",0.351095173317801,14515,30.366667,-97.116667,"Patschke Bog"
"13660",0.381571030172304,17239,30.366667,-97.116667,"Patschke Bog"
"13662",0.502527546519408,15519,30.366667,-97.116667,"Patschke Bog"
"13663",0.443427146926577,16523,30.366667,-97.116667,"Patschke Bog"
"13671",0.308216238972534,1111,44.1,-78.34,"Paynter Marsh"
"13691",0.449110992166488,9899,43.33,-79.82,"Peatsah Section"
"13692",0.536361376462263,10126,43.33,-79.82,"Peatsah Section"
"13694",0.259529663043882,11317,43.33,-79.82,"Peatsah Section"
"13853",0.290350034317999,7564,50.55,-66.266667,"Lac Petel"
"13890",0.301828644845615,9173,42.16,-93.9,"Pilot Mound Site"
"13892",0.323984466102891,10126,42.16,-93.9,"Pilot Mound Site"
"13893",0.394163394973353,10431,42.16,-93.9,"Pilot Mound Site"
"13947",0.28170191679547,10494,45.469444,-75.808333,"Pink Lake"
"14274",0.293157791621411,41,46.673611,-64.075,"Portage Bog"
"14275",0.294218482632031,83,46.673611,-64.075,"Portage Bog"
"14315",0.278883179590805,3257,46.673611,-64.075,"Portage Bog"
"14326",0.299018150564598,5624,46.673611,-64.075,"Portage Bog"
"14333",0.280833373873553,8214,46.673611,-64.075,"Portage Bog"
"14398",0.335411298826595,14289,36.6,-90.583333,"Powers Fort Swale"
"14407",0.312124720148959,17441,36.6,-90.583333,"Powers Fort Swale"
"14460",0.292653694385976,4,42.622222,-78.466667,"Protection Bog"
"14461",0.257767881749734,46,42.622222,-78.466667,"Protection Bog"
"14462",0.271900809664666,87,42.622222,-78.466667,"Protection Bog"
"14509",0.372220766508876,931,47.075,-64.8,"Point Escuminac"
"14526",0.415807994292663,2368,47.075,-64.8,"Point Escuminac"
"14555",0.275016830937508,4751,47.075,-64.8,"Point Escuminac"
"14573",0.331849242395061,7545,47.075,-64.8,"Point Escuminac"
"14580",0.321632781350051,8701,47.075,-64.8,"Point Escuminac"
"14581",0.351697558538501,8864,47.075,-64.8,"Point Escuminac"
"14582",0.459820417057795,9025,47.075,-64.8,"Point Escuminac"
"14583",0.630992575077065,9183,47.075,-64.8,"Point Escuminac"
"14584",0.263672153054367,9338,47.075,-64.8,"Point Escuminac"
"14592",0.321203629159777,10101,47.075,-64.8,"Point Escuminac"
"14593",0.286823876282052,10126,47.075,-64.8,"Point Escuminac"
"14597",0.395183055291435,10303,47.075,-64.8,"Point Escuminac"
"14598",0.394187820947153,10347,47.075,-64.8,"Point Escuminac"
"14599",0.41213908124817,10390,47.075,-64.8,"Point Escuminac"
"14841",0.272945007969567,7570,41,-81.966667,"Quillin Site"
"14976",0.261383743859294,3655,58.232778,-72.066944,"Tourbière de la Rivière-aux-Feuilles"
"15000",0.496880419713982,2636,45.6,-76.1,"Ramsay Lake"
"15004",0.406964754733283,3177,45.6,-76.1,"Ramsay Lake"
"15049",0.341596181621348,10589,45.6,-76.1,"Ramsay Lake"
"15050",0.391644684213822,10613,45.6,-76.1,"Ramsay Lake"
"15051",0.350142722665378,10629,45.6,-76.1,"Ramsay Lake"
"15439",0.338309056619477,289,51.6,-55.53,"L'Anse aux Meadows Road Cut Bog"
"15441",0.257136253055622,872,51.6,-55.53,"L'Anse aux Meadows Road Cut Bog"
"15443",0.267695274123321,1456,51.6,-55.53,"L'Anse aux Meadows Road Cut Bog"
"15445",0.406977625874466,2039,51.6,-55.53,"L'Anse aux Meadows Road Cut Bog"
"15449",0.504716025776777,3631,51.6,-55.53,"L'Anse aux Meadows Road Cut Bog"
"15738",0.370158981071015,9872,41.916667,-77.925,"Rose Lake"
"15866",0.307569647416185,12780,43.5,-81,"Rostock Mammoth Site"
"15867",0.342979058675025,12933,43.5,-81,"Rostock Mammoth Site"
"16083",0.271535660325341,5,42.98,-82.32,"Sarnia Elk Site Section"
"16125",0.265814408824256,5249,42.98,-82.32,"Sarnia Elk Site Section"
"16321",0.2711169688306,50,44.45,-87.515556,"Seidel"
"16438",0.258589571255693,6917,50.140278,-67.131944,"""LD"" Lake"
"16463",0.311032040271914,3722,49.8458,-99.5909,"Sewell Lake"
"16573",0.27885872308568,9500,36.525,-81.933333,"Shady Valley Bog"
"16604",0.285014306945691,0,45.016667,-64.183333,"Shaws Bog"
"16611",0.26561006275148,2074,45.016667,-64.183333,"Shaws Bog"
"16618",0.259222358154638,3922,45.016667,-64.183333,"Shaws Bog"
"16651",0.274614846547788,1585,45.358889,-72.584722,"Mont Shefford"
"17312",0.321911414743637,64,39.668056,-82.9375,"Stage's Pond"
"17313",0.356697955164011,81,39.668056,-82.9375,"Stage's Pond"
"17315",0.298745796427103,115,39.668056,-82.9375,"Stage's Pond"
"17328",0.284547257188737,919,39.668056,-82.9375,"Stage's Pond"
"17380",0.388559384594575,6550,53.95,-58.916667,"Saint John Island Pond"
"17403",0.338787319637125,150,44.891667,-93.691667,"Stone Lake Tamarack Swamp"
"17450",0.318421448571403,6190,40.216667,-84.689444,"Stotzel-Leis Site"
"17452",0.27883026030076,6357,40.216667,-84.689444,"Stotzel-Leis Site"
"17454",0.3030294971038,7227,40.216667,-84.689444,"Stotzel-Leis Site"
"17455",0.311712504310988,7336,40.216667,-84.689444,"Stotzel-Leis Site"
"17475",0.257535315336558,10272,40.216667,-84.689444,"Stotzel-Leis Site"
"17479",0.316829793780011,10307,40.216667,-84.689444,"Stotzel-Leis Site"
"17542",0.276572067152887,8007,47.616667,-52.666667,"Sugarloaf Pond"
"17543",0.275239309043022,8192,47.616667,-52.666667,"Sugarloaf Pond"
"17544",0.295584939338192,8284,47.616667,-52.666667,"Sugarloaf Pond"
"17545",0.312395228390835,8376,47.616667,-52.666667,"Sugarloaf Pond"
"17546",0.302438014163339,8468,47.616667,-52.666667,"Sugarloaf Pond"
"17547",0.317477497265611,8560,47.616667,-52.666667,"Sugarloaf Pond"
"17548",0.295678737365682,8652,47.616667,-52.666667,"Sugarloaf Pond"
"17549",0.296416649876205,8745,47.616667,-52.666667,"Sugarloaf Pond"
"17550",0.39830413392007,8837,47.616667,-52.666667,"Sugarloaf Pond"
"17551",0.340503903752541,8929,47.616667,-52.666667,"Sugarloaf Pond"
"17552",0.319666045857602,9021,47.616667,-52.666667,"Sugarloaf Pond"
