"","rep.NA..length.datasets..","rep.NA..length.datasets...1"
"39",1033,"Comtois, P.G. 1979. Histoire holocène du climat et de la végétation à Lanoraie. Mémoire de M.Sc., département de Géographie, Université de Montréal, 322 pages."
"40",1113,"Miller, N.G. 1973. Late-glacial and postglacial vegetation change in southwestern New York State. Bulletin 420, New York State Museum and Science Service, The State Education Department, Albany, New York, USA."
"41",1135,"Weninger, J.M., and J.H. McAndrews. 1989. Late Holocene aggradation in the lower Humber River valley, Toronto, Ontario. Canadian Journal of Earth Sciences 26:1842-1849."
"42",1139,"Brookes, I.A., D.B. Scott, and J.H. McAndrews. 1985. Postglacial relative sea-level change, Port au Port area, west Newfoundland. Canadian Journal of Earth Sciences 22:1039-1047."
"43",1147,"Björck, S. 1985. Deglaciation chronology and revegetation in northwestern Ontario. Canadian Journal of Earth Sciences 22:850-871."
"44",1149,"Fritz, P., A.V. Morgan, U. Eicher, and J.H. McAndrews. 1987. Stable isotope, fossil coleoptera and pollen stratigraphy in late Quaternary sediments from Ontario and New York State. Palaeogeography, Palaeoclimatology, Palaeoecology 58:183-202."
"45",1171,NA
"46",1391,"Anderson, T.W., and C.F.M. Lewis. 1992. Climatic inferences of deglacial drainage changes in southern Canada at 10 to 8 ka suggested by pollen evidence. Geographie Physique et Quaternaire 46:255-272."
"47",1451,"Richard, P.J.H. 1973. Histoire postglaciaire comparée de la végétation dans deux localités au nord du Parc des Laurentides, Québec. Naturaliste Canadien 100:577-590."
"48",3454,"Dinel, H., P.J.H. Richard, P.E.M. Levésque, and A.C. Larouche. 1986. Origine et évolution du marais tourbeux de Keswick, Ontario, par l'analyse pollinique et macrofossile. Canadian Journal of Earth Sciences 23:1145-1155."
"49",1520,"Winter, T.C. 1961. A pollen analysis of Kirchner Marsh, Dakota County, Minnesota. Master's thesis. University of Minnesota, Minneapolis, Minnesota, USA."
"50",1569,"Mott, R.J. 1977. Late-Pleistocene and Holocene palynology in southeastern Québec. Géographie physique et Quaternaire 31:139-149."
"51",1572,"Mayle, F.E., A.J. Levesque, and L.C. Cwynar. 1993. Accelerator-Mass-Spectrometer ages for the Younger Dryas event in Atlantic Canada. Quaternary Research 39:355-360."
"52",1574,"Shane, L.C.K. 1991. Vegetation history of western Ohio. Final Report on 1990 Grant from the Ohio Department of Natural Resources, Limnological Research Center, University of Minnesota, Minneapolis, Minnesota."
"53",1588,"Patten, H.L. 1959. A postglacial pollen diagram from Lake Carlson, Dakota County, southern Minnesota. Thesis. University of Minnesota, Minneapolis, Minnesota, USA."
"54",1611,"Davis, A.M., J.H. McAndrews, and B.L. Wallace. 1988. Paleoenvironment and the archaeological record at the L'Anse aux Meadows site, Newfoundland. Geoarcheology 3:53-64."
"55",1615,"Comtois, P.G. 1979. Histoire holocène du climat et de la végétation à Lanoraie. Mémoire de M.Sc., département de Géographie, Université de Montréal, 322 pages."
"56",1626,"Labelle, C., and P.J.H. Richard. 1984. Histoire postglaciaire de la végétation dans la région de Mont-Saint-Pierre, Gaspésie, Quebec. Géographie physique et Quaternaire 38:257-274."
"57",1640,"Mott, R.J. 1975. Palynological studies of lake sediment profiles from southwestern New Brunswick. Canadian Journal of Earth Sciences 12:273-288."
"58",1650,"Engstrom, D.R., and B.C.S. Hansen. 1985. Postglacial vegetational change and soil development in southeastern Labrador as inferred from pollen and chemical stratigraphy. Canadian Journal of Botany 63(3):543-561. http://www.nrcresearchpress.com/doi/abs/10.1139/b85-070?journalCode=cjb1#.Uke_44bbN8E. [DOI: 10.1139/b85-070]"
"59",1651,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626."
"60",1655,"Miller, R.F., and A.V. Morgan. 1982. A postglacial Coleopterous assemblage from Lockport Gulf, New York. Quaternary Research 17:258-274."
"61",1661,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"62",1663,"Jacobson, G.L., Jr., R.B. Davis, R.S. Anderson, M. Tolonen, and R. Stuckenrath, Jr. (n.d.) Post-glacial vegetation of the coastal lowlands of Maine. Unpublished manuscript."
"63",1689,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626."
"64",1709,NA
"65",3487,"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA."
"66",1732,"Allen, K.E. 1992. Geochemical stratigraphy of Medicine Lake, South Dakota: Paleoclimatic implications of the freshwater/ saline transition. Thesis. University of Minnesota, Minneapolis, Minnesota, USA."
"67",1754,"Larouche, A.C. 1979. Histoire postglaciaire comparée de la végétation à Sainte-Foy et au Mont des Eboulements, par l'analyse pollinique et macrofossile. Mémoire de M.Sc., Foresterie et Géodésie, Université Laval, 117 pages."
"68",1759,"McAndrews, J.H. 1967. Paleoecology of the Seminary and Mirror Pool peat deposits. Pages 253-269 in W.J. Mayer-Oakes, editor. Life, Land, and Water, Occasional Papers, Department of Anthropology, University of Manitoba 1. University of Manitoba Press, Manitoba, Canada."
"69",1782,"Grüger, J. 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin 84:239-250."
"70",3495,"Grüger, J. 1973. Studies on the late Quaternary vegetation history of northeastern Kansas. Geological Society of America Bulletin 84:239-250."
"71",1789,"Albert, L.E., and D.G. Wyckoff. 1981. Ferndale Bog and Natural Lake: five thousand years of environmental change in southeastern Oklahoma. Oklahoma Archaeological Survey, Studies in Oklahoma's Past, Number 7."
"72",1807,"Liu, K.-B. 1990. Holocene paleoecology of the boreal forest and Great Lakes-St. Lawrence forest in northern Ontario. Ecological Monographs 60:179-212."
"73",1814,"Dunwiddie, P.W. 1990. Postglacial vegetation history of coastal islands in southeastern New England. National Geographic Research 6:178-195."
"74",1826,"King, J.E. 1981. Late Quaternary vegetational history of Illinois. Ecological Monographs 51(1):43-62. http://www.jstor.org/stable/2937306."
"75",1848,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"76",1862,"McAndrews, J.H. 1986. 12,000 years of change - and it's not done yet! Thunder Bay Field Naturalists' Newsletter 40:2-7."
"77",3500,"Camper, H.A. 1991. Pollen analysis of Patschke Bog. Master's thesis. Texas A and M University, College Station, Texas, USA."
"78",1865,"Antevs, E. 1948. Review of Patschke Bog. Journal of Geology 56:83-84."
"79",1879,"Roberts, A.C.B. 1985. Preceramic occupations along the north shore of Lake Ontario. Archeological Survey of Canada, Paper No. 132. 277 pp."
"80",1904,"Mott, R.J. 1978. Populus in late-Pleistocene pollen spectra. Candian Journal of Botany 56:1021-1031."
"81",1963,"McAndrews, J.H. 1981. Late Quaternary climate of Ontario: temperature trends from the fossil pollen record. Pages 319-333 in W.C. Mahaney, editor. Quaternary Paleoclimate. Geo Abstracts, Ltd., Norwich, England."
"82",1968,"Anderson, T.W. 1980. Holocene vegetation and climatic history of Prince Edward Island, Canada. Canadian Journal of Earth Sciences 17:1152-1165."
"83",1974,"Royall, P.D. 1988. Late-Quaternary paleoecology and paleoenvironments of the Western Lowlands, southeast Missouri. Master's thesis. University of Tennessee, Knoxville, Tennessee, USA."
"84",1980,"Miller, N.G. 1973. Late-glacial and postglacial vegetation change in southwestern New York State. Bulletin 420, New York State Museum and Science Service, The State Education Department, Albany, New York, USA."
"85",1981,"Warner, B.G., K. Tolonen, and M. Tolonen. 1991. A postglacial history of vegetation and bog formation at Point Escuminac, New Brunswick. Canadian Journal of Earth Sciences 28:1572-1582."
"86",2001,"Shane, L.C.K. 1987. Late glacial vegetational and climatic history of the Allegheny Plateau and the Till Plains of Ohio and Indiana, U.S.A. Boreas 16:1-20."
"87",2007,NA
"88",2016,"Richard, P.J.H. 1981. Paléophytogéographie postglaciaire en Ungava par l'analyse pollinique. Collection Paléo-Québec, no. 13, 154 pages."
"89",2023,"Mott, R.J. 1978. Populus in late-Pleistocene pollen spectra. Candian Journal of Botany 56:1021-1031."
"90",2262,"Davis, A.M. 1980. Modern pollen spectra from the tundra-boreal forest transition in northern Newfoundland, Canada. Boreas 9:89-100."
"91",2270,"Davis, M.B. 1967. Pollen accumulation rates at Rogers Lake, Connecticut, during late- and postglacial time. Review of Paleobotany and Palynology 2(1-4):219-230. http://deepblue.lib.umich.edu/handle/2027.42/33322."
"92",2289,"Cotter, J.F.P., and G.H. Crowl. 1981. The paleolimnology of Rose Lake, Potter Co., Pennsylvania: a comparison of palynologic and paleo-pigment studies. Pages 91-116 in R.C. Romans, editor. Geobotany II. Plenum Press, New York, New York, USA."
"93",2341,NA
"94",2342,"Savoie, L., and P.J.H. Richard. 1979. Paléophytogéographie de l'épisode de Saint-Narcisse dans la région de Sainte-Agathe, Québec. Géographie physique et Quaternaire 33:175-188."
"95",2353,"Burden, E.T. 1978. Pollen and algal assemblages in cored sediments from Gignac Lake and Second Lake (Simcoe Co., Ontario): relationships with lacustrine facies, geochemistry and vegetation. M.S. Thesis. Unversity of Toronto, Toronto, Ontario, Canada."
"96",3620,"West, R.G. 1961. Late and postglacial vegetational history in Wisconsin, particularly changes associated with the Valders readvance. American Journal of Science 259:766-783."
"97",2372,"Ritchie, J.C. 1976. The late-Quaternary vegetational history of the western interior of Canada. Canadian Journal of Botany 54:1793-1818."
"98",2374,"Barclay, F.H. 1957. The natural vegetation of Johnson County, Tennessee past and present. Dissertation. University of Tennessee, Knoxville, Tennessee, USA."
"99",2377,"Hadden, K.A. 1975. A pollen diagram from a postglacial peat bog in Hants County, Nova Scotia. Canadian Journal of Botany 53(1):39-47. http://www.nrcresearchpress.com/doi/abs/10.1139/b75-005#.Uko15YbbMYk."
"100",2378,"Richard, P.J.H. 1977. Histoire post-wisconsinienne de la végétation du Québec méridional par l'analyse pollinique. Service de la recherche, Direction générale des forêts, Ministère des Terres et Forêts du Québec. Publications et rapports divers. Tome 1, xxiv + 312 p.; tome 2, 142 p."
"101",2382,NA
"102",2384,"Livingstone, D.A. 1968. Some interstadial and postglacial pollen diagrams from eastern Canada. Ecological Monographs 38:87-125."
"103",2591,NA
"104",2603,"Jordan, R.H. 1975. Pollen diagrams from Hamilton Inlet, central Labrador, and their environmental implications for the northern maritime Archaic. Arctic Anthropology 12:92-116."
"105",2609,"Shane, L.C.K. 1976. Late-glacial and postglacial palynology and chronology of Darke County, west-central Ohio. Dissertation. Kent State University, Kent, Ohio, USA."
"106",2617,"Maenza-Gmelch, T.E. 1997. Holocene vegetation, climate, and fire history of the Hudson Highlands, southeastern New York, USA. The Holocene 7:25-37."
"107",2624,"Davis, A.M. 1977. The prairie-deciduous forest ecotone in the upper Middle West. Annals of the Association of American Geographers 67(2):204-213. http://www.jstor.org/discover/10.2307/2561860."
"108",2626,"Watts, W.A. 1979. Late Quaternary vegetation of central Appalachia and the New Jersey coastal plain. Ecological Monographs 49:427-469."
"109",2628,"Davis, M.B. 1960. A late-glacial pollen diagram from Taunton, Massachusetts. Bulletin of the Torrey Botanical Club 87:258-270."
"110",2629,"Dunwiddie, P.W. 1989. Forest and health: the shaping of the vegetation on Nantucket Island. Journal of Forest History 33:126-133."
"111",2632,"Willard, D.A., and L.M. Weimer. 1997. Palynological census data from surface samples in south Florida. U.S. Geological Survey Open-File Report 97-867."
"112",2638,"McAndrews, J.H. 1966. Postglacial history of prairie, savanna, and forest in northwestern Minnesota. Torrey Botanical Club Memoir 22(2):1-72."
"113",2673,"Cridlebaugh, P.A. 1984. American Indian and Euro-American impact upon Holocene vegetation in the Lower Little Tennessee River Valley, East Tennessee. Dissertation. University of Tennessee, Knoxville, Tennessee, USA."
"114",2890,"McAndrews, J.H., and I.D. Campbell. 1993. 6 ka mean July temperature in eastern Canada from Bartlein and Webb's (1985) pollen transfer functions: comments and illustrations. Pages 22-25 in A. Telka, editor. Proxy climate data and models of the six thousand years before present time interval: the Canadian perspective. Canadian Global Change Program Incidental Report Series IR93-3. The Royal Society of Canada, Ottawa, Ontario, Canada."
"115",2945,"Willard, D.A., and L.M. Weimer. 1997. Palynological census data from surface samples in south Florida. U.S. Geological Survey Open-File Report 97-867."
"116",3837,"Fries, M. 1962. Pollen profiles of late Pleistocene and recent sediments from Weber Lake, northeastern Minnesota. Ecology 43:295-308."
"117",2947,"Gooding, A.M., and J.G. Ogden, III. 1965. A radiocarbon dated pollen sequence from the Wells Mastodon site near Rochester, Indiana. Ohio Journal of Science 65:1-11."
"118",2949,"Edwards, T.W.D., and J.H. McAndrews. 1989. Paleohydrology of a Canadian Shield lake inferred from 18O in sediment cellulose. Canadian Journal of Earth Sciences 26:1850-1859."
"119",3029,"Birks, H.J.B. 1976. Late-Wisconsinan vegetational history at Wolf Creek, central Minnesota. Ecological Monographs. Ecological Monographs 46:395-429."
"120",3036,"McAndrews, J.H., R.E. Stewart, Jr., and R.C. Bright. 1967. Paleoecology of a prairie pothole: a preliminary report. North Dakota Geological Survey Miscellaneous Series 30:101-113."
"121",3041,NA
"122",3046,"McAndrews, J.H. 1981. Late Quaternary climate of Ontario: temperature trends from the fossil pollen record. Pages 319-333 in W.C. Mahaney, editor. Quaternary Paleoclimate. Geo Abstracts, Ltd., Norwich, England."
"123",3067,"King, J.E. 1973. Late Pleistocene palynology and biogeography of the western Missouri Ozarks. Ecological Monographs 43:539-565."
"124",3541,"Bender, M.M., D.A. Baerreis, R.A. Bryson, and R.L. Steventon. 1982. University of Wisconsin radiocarbon dates XIX. Radiocarbon 24:83-100."
"125",3565,"Richard, P.J.H. 1973. Histoire postglaciaire de la végétation dans la région de Saint-Raymond de Portneuf, telle que révélée par l'analyse pollinique d'une tourbière. Le Naturaliste Canadien 100:561-575."
"126",3774,NA
"127",3775,"Levesque, A.J., F.E. Mayle, I.R. Walker, and L.C. Cwynar. 1993. A previously unrecognized late-glacial cold event in eastern North America. Nature 361:623-626."
"128",3786,"Swain, P.C. 1979. The development of some bogs in eastern Minnesota. Dissertation. University of Minnesota, Minneapolis, Minnesota, USA."
"129",3790,"Davis, M.B. 1958. Three pollen diagrams from central Massachusetts. American Journal of Science 256:540-570. http://www.ajsonline.org/content/256/8/540.citation. [DOI: 10.2475/ajs.256.8.540]"
"130",3831,"Gilliam, J.A., R.O. Kapp, and R.D. Bogue. 1967. A post-Wisconsin pollen sequence from Vestaburg Bog, Montcalm County, Michigan. Papers of the Michigan Academy of Science, Arts, and Letters 52(1):3-17."
